"","x"
"Zoe.Saldana",19
"Sigourney.Weaver",25
"Giovanni.Ribisi",19
"Johnny.Depp",38
"Stellan.Skarsgård",20
"Bill.Nighy",25
"Geoffrey.Rush",23
"Daniel.Craig",18
"Ralph.Fiennes",21
"Judi.Dench",23
"Christian.Bale",24
"Michael.Caine",23
"Gary.Oldman",26
"Anne.Hathaway",22
"Morgan.Freeman",45
"Liam.Neeson",37
"Thomas.Lennon",19
"Willem.Dafoe",35
"Thomas.Haden.Church",17
"Mark.Strong",17
"Ciarán.Hinds",19
"Kirsten.Dunst",22
"James.Franco",26
"James.Cromwell",22
"J.K..Simmons",31
"Dylan.Baker",19
"Elizabeth.Banks",24
"Stan.Lee",26
"Bruce.Campbell",16
"Ron.Perlman",18
"M.C..Gainey",15
"Jeffrey.Tambor",16
"Robert.Downey.Jr.",21
"Mark.Ruffalo",25
"Scarlett.Johansson",22
"Samuel.L..Jackson",53
"Don.Cheadle",22
"Paul.Bettany",22
"Anthony.Mackie",26
"Idris.Elba",18
"Andy.Serkis",14
"Josh.Brolin",22
"Michael.Gambon",18
"Jim.Broadbent",24
"Helena.Bonham.Carter",20
"Alan.Rickman",19
"Timothy.Spall",13
"David.Thewlis",18
"Ben.Affleck",29
"Amy.Adams",21
"Laurence.Fishburne",27
"Jena.Malone",15
"Kevin.Costner",23
"Patrick.Wilson",15
"Michael.Shannon",25
"Carla.Gugino",19
"Kevin.Spacey",22
"Kate.Bosworth",16
"James.Marsden",25
"Jeffrey.Wright",22
"William.Fichtner",20
"Tom.Wilkinson",24
"Stephen.Root",22
"Russell.Crowe",23
"Richard.Schiff",16
"Clark.Gregg",17
"Gwyneth.Paltrow",22
"Harry.Dean.Stanton",16
"Will.Smith",25
"Tommy.Lee.Jones",21
"Emma.Thompson",17
"Bill.Hader",28
"Ian.McKellen",18
"Cate.Blanchett",28
"Hugo.Weaving",20
"Ian.Holm",17
"Martin.Sheen",17
"Danny.Huston",19
"Nicole.Kidman",25
"Kathy.Bates",22
"Naomi.Watts",19
"Jack.Black",30
"Kate.Winslet",22
"Leonardo.DiCaprio",19
"Bill.Paxton",22
"Paul.Rudd",28
"Marisa.Tomei",15
"Vincent.D.Onofrio",14
"Judy.Greer",21
"Alfred.Molina",20
"Jon.Favreau",21
"Ben.Kingsley",29
"Michael.Sheen",19
"Hugh.Jackman",25
"Patrick.Stewart",21
"Famke.Janssen",19
"John.Goodman",31
"Steve.Buscemi",33
"Helen.Mirren",15
"John.Ratzenberger",22
"John.Turturro",23
"Frank.Welker",30
"Mark.Wahlberg",29
"Stanley.Tucci",34
"Richard.Riehle",14
"Jamie.Foxx",20
"Paul.Giamatti",29
"Chris.Cooper",21
"Jeff.Bridges",17
"Owen.Wilson",37
"Emily.Mortimer",18
"Tony.Shalhoub",18
"Jason.Isaacs",19
"Cheech.Marin",16
"Ryan.Reynolds",22
"Peter.Sarsgaard",18
"Angela.Bassett",16
"Michael.Clarke.Duncan",19
"Tom.Hanks",30
"Joan.Cusack",16
"Whoopi.Goldberg",16
"Wallace.Shawn",15
"Arnold.Schwarzenegger",31
"Dwayne.Johnson",25
"Jason.Statham",23
"Brad.Pitt",37
"David.Morse",15
"Simon.Pegg",20
"John.Cho",16
"Bruce.Greenwood",21
"Ewan.McGregor",24
"Jake.Gyllenhaal",18
"Clifton.Collins.Jr",19
"John.Malkovich",23
"Ken.Jeong",21
"Alan.Tudyk",22
"James.Remar",19
"Harrison.Ford",31
"Ray.Winstone",15
"John.Hurt",23
"Steve.Zahn",24
"Jackie.Chan",16
"Philip.Baker.Hall",19
"John.Cusack",21
"Amanda.Peet",18
"Oliver.Platt",17
"Woody.Harrelson",28
"Danny.Glover",23
"Jim.Carrey",26
"Colin.Firth",12
"Cary.Elwes",16
"Bob.Hoskins",13
"Channing.Tatum",25
