"","x"
"Zoe.Saldana",0.0023786128281214
"Sigourney.Weaver",0.000889083247055289
"Giovanni.Ribisi",0.000226374649753378
"Johnny.Depp",0.00327950690867576
"Stellan.Skarsgård",0.00173488603970716
"Bill.Nighy",0.000263773172706334
"Geoffrey.Rush",9.98663614092737e-06
"Daniel.Craig",0.000560160876098787
"Ralph.Fiennes",0.00134085265005367
"Judi.Dench",0.00501034279961882
"Christian.Bale",2.49831071212655e-05
"Michael.Caine",0.00274818015889618
"Gary.Oldman",0.00011699528807981
"Anne.Hathaway",0.00035966501883663
"Morgan.Freeman",0.00502166879072042
"Liam.Neeson",0.00267247622615475
"Thomas.Lennon",0.00134179356844422
"Willem.Dafoe",0.000937721229467084
"Thomas.Haden.Church",0.000215389785678093
"Mark.Strong",0.000786642907149605
"Ciarán.Hinds",0.000116077106809564
"Kirsten.Dunst",0.000199753061311065
"James.Franco",0.000269026093238566
"James.Cromwell",0.00102279193285533
"J.K..Simmons",0.000323521007513586
"Dylan.Baker",0.000492735192454876
"Elizabeth.Banks",0.000784175526511815
"Stan.Lee",0.00842589772954417
"Bruce.Campbell",8.50901987674897e-05
"Ron.Perlman",3.03417027436977e-05
"M.C..Gainey",0.000291224511935974
"Jeffrey.Tambor",0.00173217666276842
"Robert.Downey.Jr.",0.000421185751364402
"Mark.Ruffalo",0.00274817985770699
"Scarlett.Johansson",0.000965609594614624
"Samuel.L..Jackson",0.00083500758004523
"Don.Cheadle",0.00028328518520926
"Paul.Bettany",0.000598798139670321
"Anthony.Mackie",3.95598270843602e-06
"Idris.Elba",0.000306879774915107
"Andy.Serkis",0.00211977772531813
"Josh.Brolin",0.00016346485087818
"Michael.Gambon",0.000489551446881588
"Jim.Broadbent",0.000226373364232408
"Helena.Bonham.Carter",0.000477060118710046
"Alan.Rickman",0.000538242089256338
"Timothy.Spall",0.0025880736164801
"David.Thewlis",0.000165395893512628
"Ben.Affleck",0.000298811480541322
"Amy.Adams",0.00027007843503843
"Laurence.Fishburne",0.000153351896358305
"Jena.Malone",0.000354656574257736
"Kevin.Costner",0.00148800482799487
"Patrick.Wilson",0.000593491053699669
"Michael.Shannon",0.00126121427432944
"Carla.Gugino",0.00268381454027162
"Kevin.Spacey",0.000200455418772401
"Kate.Bosworth",0.00220666283129646
"James.Marsden",9.19612763125271e-06
"Jeffrey.Wright",7.8993633160775e-05
"William.Fichtner",0.00108958311254689
"Tom.Wilkinson",0.000507397165097358
"Stephen.Root",1.48878864017783e-06
"Russell.Crowe",0.000615339284939761
"Richard.Schiff",0.000135373142210312
"Clark.Gregg",0.000127825209121031
"Gwyneth.Paltrow",0.00133694173344014
"Harry.Dean.Stanton",2.96120669950192e-05
"Will.Smith",0.00907397119619882
"Tommy.Lee.Jones",0.00188373871129545
"Emma.Thompson",0.000561752506963744
"Bill.Hader",0.000670503631487141
"Ian.McKellen",0.00188709293514993
"Cate.Blanchett",0.00157051840406057
"Hugo.Weaving",0.00262877622683005
"Ian.Holm",4.31212786544178e-08
"Martin.Sheen",0.000154581898787033
"Danny.Huston",3.71358146756565e-05
"Nicole.Kidman",0.000134162222540372
"Kathy.Bates",0.00248432666249378
"Naomi.Watts",1.52430883445323e-05
"Jack.Black",0.00133727084858569
"Kate.Winslet",0.000130221944190446
"Leonardo.DiCaprio",0.00596047066598973
"Bill.Paxton",0.00174209889763989
"Paul.Rudd",0.000210611459330407
"Marisa.Tomei",1.17894844334311e-05
"Vincent.D.Onofrio",0.000473814672265179
"Judy.Greer",0.00199676193600153
"Alfred.Molina",4.89042592831673e-05
"Jon.Favreau",0.00131989957022217
"Ben.Kingsley",4.27387417906455e-05
"Michael.Sheen",6.53654977557488e-05
"Hugh.Jackman",0.000661560660490861
"Patrick.Stewart",0.00103811541951757
"Famke.Janssen",0.000104774716964247
"John.Goodman",0.00164979203966978
"Steve.Buscemi",0.000107215978155584
"Helen.Mirren",3.98724019245507e-05
"John.Ratzenberger",0.0151027897945957
"John.Turturro",0.000151644896628836
"Frank.Welker",0.00422053204755289
"Mark.Wahlberg",0.0015791787806954
"Stanley.Tucci",0.00101960930184797
"Richard.Riehle",3.08999631693859e-05
"Jamie.Foxx",0.00195864895225162
"Paul.Giamatti",0.00100769845797719
"Chris.Cooper",0.00119742987697687
"Jeff.Bridges",0.000805445418893297
"Owen.Wilson",0.000312589431829545
"Emily.Mortimer",0.00135823480324665
"Tony.Shalhoub",3.22292940299102e-06
"Jason.Isaacs",0.000934893587645679
"Cheech.Marin",0.00023375236004444
"Ryan.Reynolds",0.00133804737271189
"Peter.Sarsgaard",0.000219402678385697
"Angela.Bassett",2.45441117773051e-05
"Michael.Clarke.Duncan",0.000294516306776068
"Tom.Hanks",0.00571399666349087
"Joan.Cusack",7.72551739227332e-06
"Whoopi.Goldberg",0.000244409993870806
"Wallace.Shawn",0.000344988237579834
"Arnold.Schwarzenegger",0.00506012847258466
"Dwayne.Johnson",0.00155243676035081
"Jason.Statham",0.00108822454921289
"Brad.Pitt",0.00315569979253035
"David.Morse",3.092917395819e-07
"Simon.Pegg",3.98247662584656e-05
"John.Cho",0.000162586982262263
"Bruce.Greenwood",1.33523987609358e-06
"Ewan.McGregor",8.33714995387494e-05
"Jake.Gyllenhaal",0.00151187860989344
"Clifton.Collins.Jr",2.89672146484815e-06
"John.Malkovich",0.000273977090202197
"Ken.Jeong",0.00176759115781816
"Alan.Tudyk",0.000107695447745151
"James.Remar",0.000192429968962147
"Harrison.Ford",0.00556987946190822
"Ray.Winstone",0.000827218276085781
"John.Hurt",0.000381154041335135
"Steve.Zahn",0.000742429374342776
"Jackie.Chan",2.83045187517347e-06
"Philip.Baker.Hall",0.000207934388242621
"John.Cusack",0.000298835868230278
"Amanda.Peet",5.06121745720035e-06
"Oliver.Platt",0.000120165092340811
"Woody.Harrelson",6.42069201607995e-06
"Danny.Glover",0.00132195727587971
"Jim.Carrey",0.00191388661871016
"Colin.Firth",0.000585654948604215
"Cary.Elwes",0.000628652176528756
"Bob.Hoskins",7.12821335215484e-05
"Channing.Tatum",0.00260495684143077
"Sean.Bean",0.000556087258016883
"Rose.Byrne",0.00217080557316234
"Aaron.Eckhart",0.00010829269298161
"Maggie.Gyllenhaal",0.000708653707645203
"Christopher.Plummer",0.000641801287439903
"Seth.Rogen",3.35212747578501e-05
"Reese.Witherspoon",0.00272229597760641
"Terrence.Howard",9.91892442560885e-05
"Chloë.Grace.Moretz",0.00112562175358627
"Jude.Law",0.000686337084586703
"Kevin.Kline",0.000355462205717064
"Salma.Hayek",0.000591418958776279
"Maria.Bello",6.75224159795343e-05
"Viola.Davis",8.9569681693891e-05
"Steve.Carell",0.00117963462760968
"John.Michael.Higgins",0.000489141038129117
"Jonah.Hill",1.13543849331692e-05
"Molly.Shannon",0.0010712390264495
"Tom.Cruise",0.00928964350199218
"Brendan.Gleeson",0.000306759063972096
"Jeremy.Piven",0.00230439361538116
"Dennis.Hopper",0.00183623481294678
"Dennis.Quaid",0.000137525384036117
"Bill.Murray",0.00109344507195087
"Christopher.Walken",0.0010317559053759
"Giancarlo.Esposito",0.000427771778230429
"Mickey.Rourke",0.000412375222752736
"Sam.Rockwell",3.78161139369878e-05
"Charlize.Theron",0.000390394445179787
"Toby.Jones",8.07686871158347e-06
"Angelina.Jolie",0.00255265022509807
"Keanu.Reeves",0.00102535710461588
"Eddie.Murphy",0.00357534646647205
"Cameron.Diaz",0.00127305660005107
"Antonio.Banderas",0.000759314461009679
"John.Cleese",6.90074208360713e-05
"Jane.Lynch",9.43207727648792e-06
"George.Clooney",0.00119073610480376
"John.C..Reilly",3.63301597854514e-05
"Jeff.Goldblum",0.000714464384383056
"Bill.Pullman",3.52812445358475e-05
"Gerard.Butler",0.00106411752590235
"Kristen.Wiig",0.000117468282649751
"Bradley.Cooper",0.000162521218759571
"Benicio.del.Toro",0.00022245576287399
"Seth.Green",8.95143465193051e-05
"Matthew.McConaughey",0.000480254719151111
"Casey.Affleck",1.39001846143237e-06
"Matt.Damon",0.000378028670433575
"Elijah.Wood",0.000548917039520352
"Jason.Flemyng",3.60023091920187e-06
"Elias.Koteas",0.00346920242232148
"Kevin.Bacon",0.000572497805159106
"Julianne.Moore",8.90652892256607e-07
"Philip.Seymour.Hoffman",0.000489169762034772
"Donald.Sutherland",0.000612291588318296
"Nicolas.Cage",0.000733884572834007
"Cuba.Gooding.Jr.",0.000312853994391702
"Jon.Voight",0.000230023871858409
"Alec.Baldwin",0.000256670975908668
"Dan.Aykroyd",0.00066750272640821
"Beth.Grant",7.52418546224815e-05
"Anthony.Anderson",0.000681274285707429
"Colin.Farrell",0.00135258215541655
"Val.Kilmer",0.000854465406261771
"Anthony.Hopkins",4.23706411961588e-05
"Rosario.Dawson",5.93369376989112e-05
"Jason.Bateman",0.000148441519713936
"Ben.Stiller",0.000795981374332496
"Jada.Pinkett.Smith",0.000750733218648911
"Chris.Rock",0.000246656613468498
"Cedric.the.Entertainer",0.000518737363386179
"Hank.Azaria",0.000305965590235943
"Robin.Williams",0.00254443867284163
"Eugene.Levy",4.35521562397633e-05
"Liev.Schreiber",0.000431774679915971
"Natalie.Portman",0.000191620728565885
"John.Travolta",0.00305483569938136
"Ving.Rhames",0.00135257665078941
"Larry.Miller",4.21783703370041e-05
"Ray.Liotta",0.000539825235015412
"Dustin.Hoffman",0.000129598781619079
"David.Cross",0.000921116777926692
"Richard.Jenkins",0.000124301290605986
"James.Woods",5.15893416721902e-05
"Miriam.Margolyes",0.000645240199529379
"Allison.Janney",9.45136468360681e-05
"Leslie.Mann",0.000544907204891968
"Brian.Cox",4.04019304346267e-06
"Pierce.Brosnan",0.00153103980149925
"Charles.Dance",0.00051902985736923
