"","x"
"X0",0.000618081853361117
"X1",0.00015478781138526
"X2",0.00199878701455708
"X3",5.13074329710561e-06
"X4",0.0028912490299135
"X5",0.000841793534676901
"X6",0.000239900111085098
"X7",0.00342695858516785
"X8",7.49453199341359e-06
"X9",0.00123167088169549
"X10",0.00180807485543093
"X11",0.000251510329637687
"X12",0.00438029567110322
"X13",0.000480644194142339
"X14",1.55128672075239e-05
"X15",0.000207988595647678
"X16",0.000413993541918299
"X17",0.00117002397129219
"X18",0.000985577656973861
"X19",0.00240955269143125
"X20",0.0010701620776042
"X21",8.61653173233587e-05
"X22",0.000513294052790716
"X23",0.000158572289370816
"X24",0.000156567713812431
"X25",0.0001509781835495
"X26",0.000611385268452723
"X27",6.37617060851154e-05
"X28",0.00330187284466398
"X29",0.0036717392987943
"X30",0.00217655281483811
"X31",0.00123021734803556
"X32",0.00308455429519626
"X33",2.15344536773162e-05
"X34",0.0074464820680645
"X35",0.00206834965683009
"X36",4.42278767189738e-05
"X37",0.000177754334566858
"X38",1.04937725394048e-05
"X39",5.04447687005901e-06
"X40",2.47477754140103e-05
"X41",0.00542321925368098
"X42",8.27982444286605e-05
"X43",0.000239194921082583
"X44",0.00493703666239398
"X45",0.0041035806688434
"X46",0.00128671361357349
"X47",0.0020059807802708
"X48",0.00104207733695578
"X49",0.000139099598399268
"X50",0.000437416700955383
"X51",0.00146255603343525
"X52",0.00320772776478137
"X53",0.000287934208563665
"X54",0.000564137231250796
"X55",0.00172780143968767
"X56",0.00192886775007195
"X57",0.000363994129302627
"X58",0.000504448363669838
"X59",0.00245750907798199
"X60",0.00326452429895315
"X61",0.00295623198181954
"X62",9.80700075595591e-05
"X63",1.4936447567602e-05
"X64",0.000822820810353773
"X65",5.19996260306528e-06
"X66",0.00134301967554179
"X67",0.000189248554258555
"X68",3.46266198643284e-05
"X69",1.97386180712627e-05
"X70",0.000548680806671354
"X71",0.000332992745214566
"X72",0.000335030422715719
"X73",0.000112974993358847
"X74",0.00234358676322322
"X75",0.00130785951412402
"X76",0.00525216815152591
"X77",0.00135212747716893
"X78",0.000367713445682202
"X79",0.00256409340925128
"X80",7.39353528640862e-07
"X81",0.00197699830455575
"X82",0.00278675717942985
"X83",1.15418469839845e-05
"X84",0.000333652165922289
"X85",0.00593090239414969
"X86",0.00289688268528924
"X87",0.00034729964690817
"X88",0.00373930783561355
"X89",0.000622833031583635
"X90",0.00564157039743939
"X91",0.00181040723081924
"X92",2.87976932257659e-09
"X93",0.0017935334061176
"X94",0.00187920168109455
"X95",0.00764646213617537
"X96",0.00325150481294678
"X97",0.00271587117317449
"X98",0.00115640569957807
"X99",9.14434779411713e-07
"X100",0.00238538188216239
"X101",0.00098818173383139
"X102",5.23330653094604e-05
"X103",4.61304964270532e-08
"X104",0.00169658277483527
"X105",0.00637535113932523
"X106",0.000905233109633532
"X107",0.000134340157540577
"X108",0.00268387891100638
"X109",0.000634556367329061
"X110",0.00273820648594603
"X111",5.18009209111553e-05
"X112",1.4907118731006e-05
"X113",0.00175596962368504
"X114",0.0003442785842265
"X115",0.00300326524631305
"X116",0.00621421631724394
"X117",6.17197619974078e-05
"X118",0.00526788676217849
"X119",0.00146606491821637
"X120",0.000111862254441301
"X121",0.000377209065474893
"X122",0.000157432554256475
"X123",0.00344163567780519
"X124",0.000230407170552389
"X125",1.12612938119765e-05
"X126",0.00010237589128028
"X127",0.0039527450270601
"X128",8.59102635223091e-05
"X129",2.60233671181637e-07
"X130",0.000350650595430662
"X131",0.000785925197715963
"X132",0.00264839760025053
"X133",0.000125440457376056
"X134",0.00256722026763397
"X135",0.000602913040714621
"X136",0.00527532266854699
"X137",0.00151478813468736
"X138",0.00057732178683068
"X139",8.90610241907679e-05
"X140",0.000267844577879988
"X141",0.00245974576896739
"X142",0.00168895152305366
"X143",0.0033003549691461
"X144",0.0022789746000391
"X145",0.000211369334233431
"X146",4.19833335017751e-05
"X147",6.1208282988644e-05
"X148",0.000468465217605622
"X149",0.00182778566848856
"X150",3.33566145446531e-05
"X151",0.000901361202645854
"X152",0.00464440250268074
"X153",0.000714901015382946
"X154",0.00134939662573718
"X155",0.000872666478053321
"X156",0.00125793516126323
"X157",2.96013108819984e-05
"X158",2.69351740986683e-06
"X159",0.00129107591763492
"X160",0.000122824274836873
"X161",0.0016188353946641
"X162",1.31291818683339e-05
"X163",0.000320396512533156
"X164",0.000416261231281665
"X165",0.0109495556566845
"X166",0.000102093932430324
"X167",0.000177089366659328
"X168",0.00110854766978541
"X169",0.000521396986926338
"X170",0.00912028068174521
"X171",0.000318547031104792
"X172",0.000336829866139107
"X173",5.18551772453447e-05
"X174",6.87577029181945e-05
"X175",0.00441487245003044
"X176",1.15605079266856e-07
"X177",0.000465750488615118
"X178",0.000590460136503467
"X179",0.000996831513422119
"X180",4.5389254787848e-05
"X181",0.000594970412679879
"X182",0.0012214933911789
"X183",0.000464355817928784
"X184",1.26795400151394e-06
"X185",5.95665580836141e-06
"X186",0.00032172678271301
"X187",0.000196498623365434
"X188",0.000105228707016842
"X189",0.000135285601889372
"X190",0.00104351342661685
"X191",0.0036095955573297
"X192",0.00460185288772133
"X193",0.00601459976265528
"X194",0.00129515872321228
"X195",0.000184339128210093
"X196",5.09713769376428e-06
"X197",0.00133887958067263
"X198",0.000170652587461159
"X199",0.00498175790698826
"X200",0.00490171306982616
"X201",0.0016107794748377
"X202",0.00202096177062964
"X203",0.0018640322299216
"X204",8.32286195746596e-05
"X205",0.000213294633084952
"X206",0.0013487027402513
"X207",0.00295848568477081
"X208",0.000986725529520638
"X209",0.000934059690541931
"X210",0.00116020284229255
"X211",0.00248564279162651
"X212",0.00143362821335327
"X213",0.000814661853567253
"X214",0.000265520785215517
"X215",0.00145191705808457
"X216",0.00123459527849274
"X217",0.00133893595631581
"X218",0.000782771317367869
"X219",0.0031998548305477
"X220",9.91327956168734e-06
"X221",0.00220435849593255
"X222",0.000505469131185584
"X223",0.00229873077834539
"X224",0.00111922158972137
"X225",8.37096903152445e-05
"X226",0.00182103592950978
"X227",0.00148130532072621
"X228",0.00252624841657108
"X229",0.00387732985614983
"X230",0.00186088574689341
"X231",0.00379334792296479
"X232",0.000540887513122944
"X233",0.00293079406200134
"X234",5.77950136127159e-05
"X235",0.000416807923448038
"X236",0.000795032058352788
"X237",1.30627041573896e-06
"X238",5.45713309233163e-06
"X239",0.00167594129489543
"X240",0.00449216494278088
"X241",1.22803212999656e-05
"X242",2.86625597395807e-05
"X243",0.000913806226488712
"X244",0.00120152634701135
"X245",0.00140455639222261
"X246",1.6796239809062e-05
"X247",0.000231943218107441
"X248",0.00336489809423975
"X249",0.009183788746276
"X250",0.00186786783269661
"X251",0.00034891137017072
"X252",3.33464575273286e-06
"X253",0.00108129553709562
"X254",0.0038337407390942
"X255",4.34262654619058e-05
"X256",0.000502334698909565
"X257",0.00124654275138041
"X258",2.40867374552865e-06
"X259",0.00134364596799407
"X260",8.92129860206722e-06
"X261",0.000161809187315437
"X262",0.00119030679220281
"X263",0.00201350162391288
"X264",2.26721287396468e-06
"X265",0.00098983811074126
"X266",0.0019792183499811
"X267",9.64613383477578e-05
"X268",0.000487894912236633
"X269",0.0043528295223071
"X270",2.82200234418501e-05
"X271",2.55249811209077e-05
"X272",0.000472379557283554
"X273",0.00587425361673459
"X274",0.00278373239936785
"X275",3.28384738096444e-06
"X276",0.000227174422268229
"X277",0.000586376703694242
"X278",0.00118544795114488
"X279",4.2068273499393e-05
"X280",0.000579839441743311
"X281",0.00472951170806493
"X282",0.00688190171886059
"X283",0.000167610038339198
"X284",0.00024104355527452
"X285",7.68802780131713e-05
"X286",0.00286082057697081
"X287",0.00678049179027822
"X288",0.000132021963179177
"X289",1.38368204406496e-07
"X290",0.000456910718883425
"X291",0.0056054150904236
"X292",0.000266094265332097
"X293",0.00350505163300694
"X294",0.00079906284048786
"X295",0.00171977690545544
"X296",0.000580292442540038
"X297",0.00139210504353621
"X298",0.0074198476149588
"X299",5.92970328574954e-05
"X300",3.01218150688198e-05
"X301",0.00030818804345844
"X302",0.00535456541330169
"X303",0.000243726328279061
"X304",0.00125883326611021
"X305",0.00503256618689932
"X306",0.000148750699962255
"X307",0.00163088307476731
"X308",0.00420977790032017
"X309",9.12912018744554e-05
"X310",0.00217905365456058
"X311",0.00864937333228399
"X312",0.000280095385761822
"X313",0.000153953529703038
"X314",1.02053210956792e-05
"X315",0.00152659577644691
"X316",0.00172122375572891
"X317",1.51105963179623e-05
"X318",8.0422836112537e-08
"X319",0.000155652814133472
"X320",0.000694575594717955
"X321",6.71781729237208e-05
"X322",0.000419926995454428
"X323",6.15183948069327e-05
"X324",0.000100574953882833
"X325",0.002532434419086
"X326",0.000154611652448834
"X327",0.00294559868586049
"X328",0.000659092522923051
"X329",4.63181297540744e-05
"X330",0.00157524423333574
"X331",0.00160898170600142
